"","posteam","week","season","before_old_xtd","before_new_xtd","after_old_xtd","after_new_xtd","actual_td","actual_fg"
"1","ARZ",1,2016,3.49532305705361,3.01053562449134,3.26624390063807,2.83424485903538,3,0
"2","ARZ",1,2017,3.78300507890526,3.25164098417112,3.5767887030961,3.13629614872615,3,0
"3","ARZ",1,2018,2.5562315878924,2.05600373834433,1.70849668013398,1.51195771820347,1,0
"4","ARZ",1,2019,2.92511475103674,2.53536959589616,2.76267873606412,2.6166297479402,2,0
"5","ARZ",1,2020,1.40085804386763,1.37960318924586,1.05841920117382,1.05164771274748,3,0
"6","ARZ",1,2021,2.97162299440242,2.6501734539794,3.38449401536491,3.01279375924044,5,0
"7","ARZ",1,2022,2.732664125273,2.34784827283604,2.39372757571982,2.13935050333927,3,0
"8","ARZ",1,2023,1.12378571298905,1.0700571138961,0.933115655265283,0.881835062010333,0,0
"9","ARZ",1,2024,2.63236329320353,2.36110228049268,1.90754595701583,1.81590574656701,2,0
"10","ARZ",2,2016,4.97042120690458,3.86108300153963,3.9805307254428,3.31993578165345,4,0
"11","ARZ",2,2017,2.5125187105732,2.30506697922666,2.35259525757283,2.13571011549741,1,0
"12","ARZ",2,2018,0.155786802177317,0.155312617704378,0.160435117315501,0.160014343705955,0,0
"13","ARZ",2,2019,3.16502015141305,2.76429597386839,2.51484863468795,2.30052198850138,1,0
"14","ARZ",2,2020,2.63771700928919,2.40252419196439,2.45063219545409,2.24967071084354,3,0
"15","ARZ",2,2021,2.28988292894792,2.07334058653858,2.04130812967196,1.90496461943711,5,0
"16","ARZ",2,2022,5.18465881270822,4.09211534061314,3.86484290345106,3.36718212411513,3,0
"17","ARZ",2,2023,2.18158690421842,1.92280578767938,1.88461562909652,1.76757397636919,3,0
"18","ARZ",2,2024,2.38156773336232,2.12728963201831,2.64291471464094,2.35214867416466,5,0
"19","ARZ",3,2016,2.24718291452155,2.02978946864195,2.00560927850893,1.86169665672675,3,0
"20","ARZ",3,2017,3.0696844101476,2.65914216608321,2.53341430431465,2.28891923543233,2,0
"21","ARZ",3,2018,0.531603407347575,0.528037211211658,0.435312386485748,0.433899626978199,2,0
"22","ARZ",3,2019,2.9006050686512,2.54901346729852,1.93479263148038,1.73871838074584,2,0
"23","ARZ",3,2020,2.24846710986458,2.06413259298728,2.05989710637368,1.96534550022097,3,0
