"","Feature","Gain","Cover","Frequency"
"1","twp_difference_Bad",0.0341773752415885,0.0326524008723707,0.0265594967674297
"2","no_pressure_btt_rate_diff",0.032331897078651,0.0262238540172474,0.0291804997378997
"3","twp_difference_Good",0.0278815265995532,0.0229218467384592,0.026908963830159
"4","no_pressure_acc_pct_Good",0.0252342717618697,0.0164316670188861,0.0223658920146776
"5","pressure_rate_Bad",0.0251466463241327,0.0164141335315857,0.0204438231696663
"6","pressure_rate_Good",0.0229259522362881,0.0130114415302696,0.0165996854796435
"7","no_pressure_grade_Bad",0.0223102887259863,0.0164112112837023,0.0214922243578543
"8","adot_difference_Good",0.0205619791913318,0.022927159916429,0.0234142932028656
"9","pressure_scr_rate_Bad",0.0204483691364814,0.0163595406279459,0.0186964878560196
"10","acc_pct_difference_diff",0.0203840630883041,0.0164101486481084,0.0213174908264896
"11","pressure_adot_diff",0.0200713624273407,0.0164393711269423,0.0207932902323956
"12","pressure_btt_rate_diff",0.0193064921262302,0.0294166754887559,0.0178228201991962
"13","sack_pct_Bad",0.0192274381251796,0.0163923495019095,0.0190459549187489
"14","no_pressure_qbr_diff",0.0191216358895877,0.0164276821354087,0.0213174908264896
"15","no_pressure_twp_rate_Good",0.0181648381192987,0.0163592749690474,0.0186964878560196
"16","no_pressure_adot_Good",0.0175580150012022,0.0163510395431942,0.0157260178228202
"17","qbr_difference_diff",0.0175249023870714,0.0131432083439209,0.0169491525423729
"18","ypa_difference_Bad",0.0174110274313079,0.0229098920880271,0.0211427572951249
"19","adot_difference_diff",0.0172542560975894,0.0197109604618533,0.0155512842914555
"20","pressure_grade_diff",0.0172272997266164,0.0131471932273983,0.0179975537305609
"21","btt_difference_Good",0.0168272588018581,0.0196817379830193,0.0202690896383016
"22","btt_difference_diff",0.0167209659589629,0.0131295269106487,0.0152018172287262
"23","no_pressure_ypa_diff",0.0164185220991684,0.0164324639955816,0.0129302813209855
"24","acc_pct_difference_Good",0.0160851213239998,0.0196850587192505,0.0167744190110082
"25","scr_rate_difference_Good",0.0158284958614155,0.0229380519312671,0.0213174908264896
"26","no_pressure_adot_diff",0.0151842784654508,0.0131373638481542,0.0139786825091735
"27","twp_difference_diff",0.0148971623671607,0.0196980760052765,0.0213174908264896
"28","adot_difference_Bad",0.0146793367791261,0.0164235644224821,0.0181722872619256
"29","no_pressure_ypa_Good",0.0140015850900262,0.00984000560008958,0.0117071466014328
"30","ypa_difference_diff",0.0137345730788869,0.0164336594606248,0.0138039489778088
"31","pressure_qbr_diff",0.0134796613630258,0.0164268851587133,0.0134544819150795
"32","grade_difference_diff",0.0130361415486108,0.00985461683950656,0.0120566136641622
"33","pressure_acc_pct_Good",0.012888691753654,0.0163436010940365,0.0127555477896208
"34","pressure_twp_rate_Good",0.0126474521685907,0.00979245265725977,0.0118818801327975
"35","qbr_difference_Bad",0.0125533109793139,0.0131183692369121,0.0132797483837148
"36","no_pressure_scr_rate_diff",0.0125388292788889,0.00983934145284335,0.0106587454132448
"37","no_pressure_qbr_Bad",0.012057816524531,0.00984518594861015,0.0104840118818801
"38","pressure_acc_pct_Bad",0.0115717476767256,0.00984611575475486,0.00873667656823344
"39","no_pressure_twp_rate_Bad",0.0113770373964248,0.0163894272540261,0.0159007513541849
"40","pressure_time_to_throw_Good",0.0111067769702626,0.0196591569766477,0.0141534160405382
"41","pressure_qbr_Bad",0.0111046293807175,0.00982672265516505,0.0103092783505155
"42","ttt_difference_Bad",0.0110202118119454,0.0131073443926247,0.0120566136641622
"43","no_pressure_btt_rate_Good",0.0105755019707246,0.00656456421115047,0.00856194303686877
"44","no_pressure_time_to_throw_Bad",0.0100321327578173,0.0163854423705487,0.0120566136641622
"45","no_pressure_acc_pct_Bad",0.0100116009097533,0.00982765246130977,0.0106587454132448
"46","scr_rate_difference_Bad",0.00985989648176441,0.0163770741152463,0.0136292154464442
"47","pressure_ypa_diff",0.00981802321600928,0.0131319178407351,0.00891141009959811
"48","pressure_btt_rate_Good",0.00948658892465947,0.00984173238292977,0.0078630089114101
"49","pressure_twp_rate_Bad",0.00887647414241132,0.0131301910578949,0.00995981128778613
"50","no_pressure_twp_rate_diff",0.00886445088464366,0.00985953152912863,0.00995981128778613
"51","pressure_qbr_Good",0.00873479269998957,0.00653055987214369,0.00838720950550411
"52","ypa_difference_Good",0.0083366635218716,0.0065511484367767,0.00733880831731609
"53","no_pressure_time_to_throw_Good",0.00800143952562291,0.00985674211069448,0.00908614363096278
"54","pressure_acc_pct_diff",0.00798305661863922,0.00657452641984387,0.00873667656823344
"55","no_pressure_qbr_Good",0.00785511555954649,0.00328062173745967,0.00454307181548139
"56","acc_pct_difference_Bad",0.00783188469554701,0.00981729176426864,0.00978507775642146
"57","no_pressure_adot_Bad",0.0076930374225878,0.00984704556089958,0.00838720950550411
"58","no_pressure_scr_rate_Bad",0.00755536193070825,0.00983416110432279,0.0104840118818801
"59","pressure_time_to_throw_diff",0.00724233217090645,0.00657094002471425,0.00716407478595142
"60","no_pressure_time_to_throw_diff",0.00666733635689839,0.00985381986281109,0.00995981128778613
"61","no_pressure_scr_rate_Good",0.00662307290101712,0.00980042242421449,0.00856194303686877
"62","no_pressure_acc_pct_diff",0.00661459066565855,0.00985740625794071,0.00698934125458675
"63","scr_rate_difference_diff",0.00631406936478658,0.00985833606408543,0.00629040712912808
"64","ttt_difference_Good",0.00610109713990883,0.00984744404924731,0.00768827538004543
"65","pressure_grade_Good",0.00569959182668479,0.00328819301606665,0.00401887122138738
"66","pressure_twp_rate_diff",0.00510101172220396,0.00656270459886104,0.0055914730036694
"67","pressure_ypa_Bad",0.00505661818105289,0.0065511484367767,0.00576620653503407
"68","no_pressure_grade_Good",0.00504978752179505,0.0032657448391442,0.00436833828411672
"69","grade_difference_Bad",0.00470572144392198,0.00656363440500576,0.00454307181548139
"70","pressure_scr_rate_Good",0.00463688437374984,0.00326521352134722,0.00297047003319937
"71","sack_pct_diff",0.00448509885364475,0.00327530855948986,0.00419360475275205
"72","pressure_time_to_throw_Bad",0.00441350465152049,0.0032827470086476,0.00366940415865805
"73","sack_pct_Good",0.0040571102067924,0.00328102022580741,0.00401887122138738
"74","pressure_adot_Bad",0.00382770736762942,0.00656629099399066,0.00401887122138738
"75","btt_difference_Bad",0.00374331209918925,0.00328075456690892,0.00349467062729338
"76","no_pressure_grade_diff",0.00354605789162529,0.00328673189212495,0.00366940415865805
"77","pressure_adot_Good",0.00350852406774038,0.00328022324911194,0.00331993709592871
"78","no_pressure_btt_rate_Bad",0.00337837899250505,0.00328287983809684,0.00401887122138738
"79","pressure_grade_Bad",0.00337107732320539,0.00328367681479231,0.00297047003319937
"80","ttt_difference_diff",0.00334953925713238,0.00328713038047269,0.0027957365018347
"81","no_pressure_ypa_Bad",0.00320449620860872,0.00328181720250288,0.00366940415865805
"82","qbr_difference_Good",0.00302896252437931,0.00328009041966269,0.00244626943910536
"83","pressure_scr_rate_diff",0.00283585685432859,0.00328633340377722,0.00349467062729338
"84","pressure_ypa_Good",0.00283321544758403,0.00328779452771892,0.0027957365018347
"85","pressure_btt_rate_Bad",0.00280306472299884,0.00327583987728684,0.00349467062729338
"86","grade_difference_Good",0.00225671520587782,0.00327637119508382,0.00244626943910536
