"","Feature","Gain","Cover","Frequency"
"1","no_pressure_grade_Good",0.0645491355540045,0.0465095887869146,0.0342342342342342
"2","sack_pct_Bad",0.041573183678253,0.0364623401317899,0.029029029029029
"3","pressure_rate_Bad",0.0403081785689916,0.0414988078910912,0.0302302302302302
"4","pressure_grade_Bad",0.0398900404655277,0.030789553488612,0.0248248248248248
"5","pressure_grade_Good",0.034414612522355,0.0416273505918709,0.028028028028028
"6","no_pressure_qbr_Good",0.0341951423314583,0.0261242988407529,0.0192192192192192
"7","no_pressure_btt_rate_Bad",0.0302178778438135,0.0302844868902703,0.0232232232232232
"8","no_pressure_grade_Bad",0.0296733032866747,0.0245010408056961,0.0186186186186186
"9","no_pressure_qbr_Bad",0.0294999719010041,0.0245306294712213,0.0184184184184184
"10","sack_pct_Good",0.0235524093596576,0.0228557809424283,0.0206206206206206
"11","no_pressure_acc_pct_Bad",0.0197358167864067,0.0282449282534472,0.0206206206206206
"12","no_pressure_ypa_Bad",0.0191486391331044,0.0140291460277596,0.015015015015015
"13","pressure_rate_Good",0.0183177424792549,0.0258788104619452,0.0182182182182182
"14","no_pressure_ypa_Good",0.0169204026251077,0.012335763939242,0.01001001001001
"15","qbr_difference_Good",0.016726782675142,0.0225841721665818,0.0178178178178178
"16","pressure_adot_Bad",0.0164921095632876,0.0306284957707717,0.0192192192192192
"17","sack_pct_diff",0.0158236884750626,0.0133470893532178,0.0152152152152152
"18","pressure_scr_rate_Good",0.0155753611205008,0.0234216506226734,0.0186186186186186
"19","pressure_btt_rate_Bad",0.0154144606096417,0.0210312549517661,0.0166166166166166
"20","pressure_time_to_throw_Good",0.0143488807957416,0.0283431236049703,0.0188188188188188
"21","adot_difference_Bad",0.0139868593564007,0.0154691277499847,0.0136136136136136
"22","twp_difference_Good",0.0131473061814639,0.0225574014692019,0.0156156156156156
"23","pressure_adot_diff",0.0123551516043608,0.0122775620587035,0.0132132132132132
"24","acc_pct_difference_diff",0.0117288349705594,0.0107173831567443,0.0156156156156156
"25","no_pressure_btt_rate_Good",0.0108571263115317,0.0116405928744857,0.00940940940940941
"26","no_pressure_twp_rate_diff",0.0103674400265218,0.0121833768926179,0.0128128128128128
"27","scr_rate_difference_Bad",0.0102355593345049,0.016229220465472,0.0124124124124124
"28","no_pressure_qbr_diff",0.00986664922860818,0.0126898524750323,0.013013013013013
"29","pressure_qbr_Good",0.00984826165744497,0.0152337190264657,0.0124124124124124
"30","adot_difference_diff",0.00941472406518379,0.00820017891930055,0.0104104104104104
"31","btt_difference_Bad",0.00924233909399953,0.0142507900607229,0.0126126126126126
"32","pressure_twp_rate_Bad",0.00922823770655806,0.011469672268137,0.0116116116116116
"33","acc_pct_difference_Bad",0.00907025368466659,0.0137474575966243,0.0118118118118118
"34","grade_difference_Bad",0.00903398534823956,0.00493447898912113,0.011011011011011
"35","no_pressure_adot_Bad",0.00899521312690432,0.00811238837323685,0.0122122122122122
"36","no_pressure_twp_rate_Good",0.00893739517755014,0.0115567041304693,0.0106106106106106
"37","no_pressure_acc_pct_diff",0.008937390153452,0.00935836382700017,0.0118118118118118
"38","pressure_ypa_Bad",0.00887426236038098,0.00881460435835624,0.0104104104104104
"39","pressure_acc_pct_Bad",0.00874333310694852,0.00631918518234313,0.0112112112112112
"40","no_pressure_acc_pct_Good",0.00824506315027434,0.00720456909690407,0.00700700700700701
"41","grade_difference_diff",0.00811783728517991,0.00766270568728834,0.0102102102102102
"42","twp_difference_diff",0.00801037999022366,0.00967343434231767,0.0104104104104104
"43","ypa_difference_Bad",0.0079563169262134,0.00681189607420187,0.0106106106106106
"44","pressure_btt_rate_diff",0.00788568061847907,0.01020559678821,0.0108108108108108
"45","twp_difference_Bad",0.00777347366674808,0.00503224080708342,0.00880880880880881
"46","qbr_difference_diff",0.00762945914972203,0.00728553148938504,0.0112112112112112
"47","no_pressure_grade_diff",0.00758657030797711,0.00573489032576362,0.00960960960960961
"48","btt_difference_Good",0.00756413833781492,0.00499148865236743,0.00900900900900901
"49","ttt_difference_diff",0.00752393738857243,0.00937787283723654,0.0112112112112112
"50","btt_difference_diff",0.00751191848980807,0.00529030165915461,0.00920920920920921
"51","pressure_btt_rate_Good",0.00704540397341082,0.00653757771360036,0.00860860860860861
"52","qbr_difference_Bad",0.00703618789339373,0.00979612434002644,0.00960960960960961
