"","opponent","team_name","week","season","game_id","pass_grade","def_ssn","rank","num_games","half_mark","performance"
"1","ARZ","SEA",16,2016,4329,77.7,"ARZ2016",1,16,8,"Good"
"2","ARZ","ATL",12,2016,4258,74.5,"ARZ2016",2,16,8,"Good"
"3","ARZ","SEA",7,2016,4188,73,"ARZ2016",3,16,8,"Good"
"4","ARZ","NO",15,2016,4308,71.9,"ARZ2016",4,16,8,"Good"
"5","ARZ","LA",4,2016,4152,71.3,"ARZ2016",5,16,8,"Good"
"6","ARZ","CAR",8,2016,4211,69.6,"ARZ2016",6,16,8,"Good"
"7","ARZ","MIN",11,2016,4249,66.1,"ARZ2016",7,16,8,"Good"
"8","ARZ","SF",10,2016,4237,65.7,"ARZ2016",8,16,8,"Good"
"9","ARZ","NE",1,2016,4107,58.5,"ARZ2016",9,16,8,"Bad"
"10","ARZ","MIA",14,2016,4293,57.8413793103448,"ARZ2016",10,16,8,"Bad"
"11","ARZ","NYJ",6,2016,4185,57.5809523809524,"ARZ2016",11,16,8,"Bad"
"12","ARZ","TB",2,2016,4110,56.9,"ARZ2016",12,16,8,"Bad"
"13","ARZ","WAS",13,2016,4281,56.7,"ARZ2016",13,16,8,"Bad"
"14","ARZ","BUF",3,2016,4127,56.6,"ARZ2016",14,16,8,"Bad"
"15","ARZ","SF",5,2016,4157,49,"ARZ2016",15,16,8,"Bad"
"16","ARZ","LA",17,2016,4347,41.0285714285714,"ARZ2016",16,16,8,"Bad"
"17","ARZ","DET",1,2017,7923,79.6,"ARZ2017",1,16,8,"Good"
"18","ARZ","PHI",5,2017,7987,78.8,"ARZ2017",2,16,8,"Good"
"19","ARZ","DAL",3,2017,7969,77.2,"ARZ2017",3,16,8,"Good"
"20","ARZ","LA",13,2017,8110,75.4,"ARZ2017",4,16,8,"Good"
"21","ARZ","TB",6,2017,8009,66.665306122449,"ARZ2017",5,16,8,"Good"
"22","ARZ","IND",2,2017,7939,66,"ARZ2017",6,16,8,"Good"
"23","ARZ","SF",4,2017,7982,64.7,"ARZ2017",7,16,8,"Good"
"24","ARZ","HST",11,2017,8070,62.8,"ARZ2017",8,16,8,"Good"
"25","ARZ","SEA",17,2017,8174,61.3,"ARZ2017",9,16,8,"Bad"
"26","ARZ","SEA",10,2017,8055,61,"ARZ2017",10,16,8,"Bad"
"27","ARZ","SF",9,2017,8050,56.6,"ARZ2017",11,16,8,"Bad"
"28","ARZ","LA",7,2017,8015,56.4,"ARZ2017",12,16,8,"Bad"
"29","ARZ","NYG",16,2017,8158,56,"ARZ2017",13,16,8,"Bad"
"30","ARZ","WAS",15,2017,8133,54.9,"ARZ2017",14,16,8,"Bad"
"31","ARZ","TEN",14,2017,8124,54.5,"ARZ2017",15,16,8,"Bad"
"32","ARZ","JAX",12,2017,8095,52.9,"ARZ2017",16,16,8,"Bad"
"33","ARZ","LA",16,2018,9572,87.1,"ARZ2018",1,16,8,"Good"
"34","ARZ","KC",10,2018,9478,86.5,"ARZ2018",2,16,8,"Good"
"35","ARZ","ATL",15,2018,9549,81.6,"ARZ2018",3,16,8,"Good"
"36","ARZ","LAC",12,2018,9510,81.4421052631579,"ARZ2018",4,16,8,"Good"
"37","ARZ","LA",2,2018,9364,75.1,"ARZ2018",5,16,8,"Good"
"38","ARZ","DET",14,2018,9542,74.2,"ARZ2018",6,16,8,"Good"
"39","ARZ","WAS",1,2018,9349,73.9,"ARZ2018",7,16,8,"Good"
"40","ARZ","DEN",7,2018,9431,72.7132075471698,"ARZ2018",8,16,8,"Good"
"41","ARZ","SEA",17,2018,9593,68.5,"ARZ2018",9,16,8,"Bad"
"42","ARZ","SF",8,2018,9455,65.9,"ARZ2018",10,16,8,"Bad"
"43","ARZ","SEA",4,2018,9395,65.4,"ARZ2018",11,16,8,"Bad"
"44","ARZ","LV",11,2018,9495,62.1,"ARZ2018",12,16,8,"Bad"
"45","ARZ","GB",13,2018,9518,61,"ARZ2018",13,16,8,"Bad"
"46","ARZ","MIN",6,2018,9422,59.3,"ARZ2018",14,16,8,"Bad"
"47","ARZ","SF",5,2018,9413,59.3,"ARZ2018",14,16,8,"Bad"
"48","ARZ","CHI",3,2018,9382,38.7,"ARZ2018",15,16,8,"Bad"
"49","ARZ","CAR",3,2019,13803,86.5,"ARZ2019",1,16,8,"Good"
"50","ARZ","SF",9,2019,13883,85.3,"ARZ2019",2,16,8,"Good"
"51","ARZ","ATL",6,2019,13849,81.3,"ARZ2019",3,16,8,"Good"
"52","ARZ","PIT",14,2019,13967,79,"ARZ2019",4,16,8,"Good"
"53","ARZ","BLT",2,2019,13787,77.7,"ARZ2019",5,16,8,"Good"
"54","ARZ","CIN",5,2019,13826,77.4,"ARZ2019",6,16,8,"Good"
"55","ARZ","LA",13,2019,13949,76.525,"ARZ2019",7,16,8,"Good"
"56","ARZ","NO",8,2019,13875,76.5,"ARZ2019",8,16,8,"Good"
"57","ARZ","SF",11,2019,13919,75.1,"ARZ2019",9,16,8,"Bad"
"58","ARZ","NYG",7,2019,13861,69.4,"ARZ2019",10,16,8,"Bad"
"59","ARZ","SEA",16,2019,13999,68.9,"ARZ2019",11,16,8,"Bad"
"60","ARZ","LA",17,2019,14016,67.5,"ARZ2019",12,16,8,"Bad"
"61","ARZ","CLV",15,2019,13981,65.1,"ARZ2019",13,16,8,"Bad"
"62","ARZ","SEA",4,2019,13820,62.6,"ARZ2019",14,16,8,"Bad"
"63","ARZ","DET",1,2019,13773,62.4,"ARZ2019",15,16,8,"Bad"
"64","ARZ","TB",10,2019,13905,56.9,"ARZ2019",16,16,8,"Bad"
"65","ARZ","SEA",11,2020,18680,90.9,"ARZ2020",1,16,8,"Good"
