"","team_name","week","season","game_id","pass_grade","opponent","qbgrp_ssn","rank","num_games","half_mark","performance"
"1","ARZ",17,2022,23337,68.2,"ATL","ARZBlough-2022",1,2,1,"Good"
"2","ARZ",18,2022,23351,35.5125,"SF","ARZBlough-2022",2,2,1,"Bad"
"3","ARZ",2,2018,9364,56.8,"LA","ARZBradford-2018",1,3,2,"Good"
"4","ARZ",1,2018,9349,43.7,"WAS","ARZBradford-2018",2,3,2,"Bad"
"5","ARZ",3,2018,9382,37.4,"CHI","ARZBradford-2018",3,3,2,"Bad"
"6","ARZ",2,2023,23821,68.4,"NYG","ARZDobbs-2023",1,8,4,"Good"
"7","ARZ",3,2023,23839,67.1,"DAL","ARZDobbs-2023",2,8,4,"Good"
"8","ARZ",4,2023,23857,63.3,"SF","ARZDobbs-2023",3,8,4,"Good"
"9","ARZ",7,2023,23896,55.0279069767442,"SEA","ARZDobbs-2023",4,8,4,"Good"
"10","ARZ",5,2023,23869,53.5,"CIN","ARZDobbs-2023",5,8,4,"Bad"
"11","ARZ",6,2023,23886,51.6,"LA","ARZDobbs-2023",6,8,4,"Bad"
"12","ARZ",1,2023,23804,50.9,"WAS","ARZDobbs-2023",7,8,4,"Bad"
"13","ARZ",8,2023,23913,44.3,"BLT","ARZDobbs-2023",8,8,4,"Bad"
"14","ARZ",11,2017,8070,60.3,"HST","ARZGabbert-2017",1,5,3,"Good"
"15","ARZ",12,2017,8095,52.9,"JAX","ARZGabbert-2017",2,5,3,"Good"
"16","ARZ",14,2017,8124,51.4,"TEN","ARZGabbert-2017",3,5,3,"Bad"
"17","ARZ",13,2017,8110,51.2,"LA","ARZGabbert-2017",4,5,3,"Bad"
"18","ARZ",15,2017,8133,36.5,"WAS","ARZGabbert-2017",5,5,3,"Bad"
"19","ARZ",9,2021,19741,78.25,"SF","ARZMcCoy-2021",1,3,2,"Good"
"20","ARZ",11,2021,19769,64.5,"SEA","ARZMcCoy-2021",2,3,2,"Bad"
"21","ARZ",10,2021,19752,38.5666666666667,"CAR","ARZMcCoy-2021",3,3,2,"Bad"
"22","ARZ",10,2022,23240,76.6,"LA","ARZMcCoy-2022",1,4,2,"Good"
"23","ARZ",14,2022,23303,65.3137931034483,"NE","ARZMcCoy-2022",2,4,2,"Good"
"24","ARZ",11,2022,23257,62.22,"SF","ARZMcCoy-2022",3,4,2,"Bad"
"25","ARZ",15,2022,23312,37.4333333333333,"DEN","ARZMcCoy-2022",4,4,2,"Bad"
"26","ARZ",16,2022,23332,48.54,"TB","ARZMcSorley-2022",1,1,1,"Bad"
"27","ARZ",8,2019,13875,75.3578947368421,"NO","ARZMurray-2019",1,16,8,"Good"
"28","ARZ",6,2019,13849,75,"ATL","ARZMurray-2019",2,16,8,"Good"
"29","ARZ",5,2019,13826,72.7833333333333,"CIN","ARZMurray-2019",3,16,8,"Good"
"30","ARZ",11,2019,13919,71.8,"SF","ARZMurray-2019",4,16,8,"Good"
"31","ARZ",17,2019,14016,68.724,"LA","ARZMurray-2019",5,16,8,"Good"
"32","ARZ",2,2019,13787,66.3,"BLT","ARZMurray-2019",6,16,8,"Good"
"33","ARZ",15,2019,13981,66,"CLV","ARZMurray-2019",7,16,8,"Good"
"34","ARZ",10,2019,13905,64.232,"TB","ARZMurray-2019",8,16,8,"Good"
"35","ARZ",16,2019,13999,63.7744680851064,"SEA","ARZMurray-2019",9,16,8,"Bad"
"36","ARZ",4,2019,13820,59.3,"SEA","ARZMurray-2019",10,16,8,"Bad"
"37","ARZ",3,2019,13803,56.4,"CAR","ARZMurray-2019",11,16,8,"Bad"
"38","ARZ",9,2019,13883,55.5,"SF","ARZMurray-2019",12,16,8,"Bad"
"39","ARZ",1,2019,13773,52.6,"DET","ARZMurray-2019",13,16,8,"Bad"
"40","ARZ",7,2019,13861,51.7,"NYG","ARZMurray-2019",14,16,8,"Bad"
"41","ARZ",14,2019,13967,33.4,"PIT","ARZMurray-2019",15,16,8,"Bad"
"42","ARZ",13,2019,13949,27.7,"LA","ARZMurray-2019",16,16,8,"Bad"
